,time,values,above_3,below_3
0,2016-01-01 00:00:00+00:00,5.667,1,0
1,2016-01-01 00:30:00+00:00,5.667,1,0
2,2016-01-01 01:00:00+00:00,6.333,1,0
3,2016-01-01 01:30:00+00:00,6.0,1,0
4,2016-01-01 02:00:00+00:00,5.667,1,0
5,2016-01-01 02:30:00+00:00,5.667,1,0
6,2016-01-01 03:00:00+00:00,5.0,1,0
7,2016-01-01 03:30:00+00:00,5.0,1,0
8,2016-01-01 04:00:00+00:00,5.333,1,0
9,2016-01-01 04:30:00+00:00,5.667,1,0
10,2016-01-01 05:00:00+00:00,5.333,1,0
11,2016-01-01 05:30:00+00:00,5.667,1,0
12,2016-01-01 06:00:00+00:00,5.667,1,0
13,2016-01-01 06:30:00+00:00,5.0,1,0
14,2016-01-01 07:00:00+00:00,4.0,1,0
15,2016-01-01 07:30:00+00:00,4.0,1,0
16,2016-01-01 08:00:00+00:00,3.667,1,0
17,2016-01-01 08:30:00+00:00,3.667,1,0
18,2016-01-01 09:00:00+00:00,4.0,1,0
19,2016-01-01 09:30:00+00:00,4.0,1,0
20,2016-01-01 10:00:00+00:00,3.333,1,0
21,2016-01-01 10:30:00+00:00,2.667,0,1
22,2016-01-01 11:00:00+00:00,2.333,0,1
23,2016-01-01 11:30:00+00:00,2.333,0,1
24,2016-01-01 12:00:00+00:00,1.667,0,1
25,2016-01-01 12:30:00+00:00,1.0,0,1
26,2016-01-01 13:00:00+00:00,2.0,0,1
27,2016-01-01 13:30:00+00:00,2.0,0,1
28,2016-01-01 14:00:00+00:00,2.667,0,1
29,2016-01-01 14:30:00+00:00,1.667,0,1
30,2016-01-01 15:00:00+00:00,1.333,0,1
31,2016-01-01 15:30:00+00:00,1.0,0,1
32,2016-01-01 16:00:00+00:00,1.0,0,1
33,2016-01-01 16:30:00+00:00,1.0,0,1
34,2016-01-01 17:00:00+00:00,1.0,0,1
35,2016-01-01 17:30:00+00:00,1.0,0,1
36,2016-01-01 18:00:00+00:00,0.667,0,1
37,2016-01-01 18:30:00+00:00,2.0,0,1
38,2016-01-01 19:00:00+00:00,2.0,0,1
39,2016-01-01 19:30:00+00:00,2.333,0,1
40,2016-01-01 20:00:00+00:00,2.333,0,1
41,2016-01-01 20:30:00+00:00,2.333,0,1
42,2016-01-01 21:00:00+00:00,2.0,0,1
43,2016-01-01 21:30:00+00:00,2.333,0,1
44,2016-01-01 22:00:00+00:00,2.0,0,1
45,2016-01-01 22:30:00+00:00,1.0,0,1
46,2016-01-01 23:00:00+00:00,1.333,0,1
47,2016-01-01 23:30:00+00:00,1.667,0,1
48,2016-01-02 00:00:00+00:00,2.0,0,1
49,2016-01-19 10:00:00+00:00,2.0,0,1
50,2016-01-19 10:30:00+00:00,3.667,1,0
51,2016-01-19 11:00:00+00:00,3.333,1,0
52,2016-01-19 11:30:00+00:00,3.333,1,0
53,2016-01-19 12:00:00+00:00,1.333,0,1
54,2016-01-19 12:30:00+00:00,1.0,0,1
55,2016-01-19 13:00:00+00:00,0.333,0,1
56,2016-01-19 13:30:00+00:00,1.333,0,1
57,2016-01-19 14:00:00+00:00,0.667,0,1
58,2016-01-19 14:30:00+00:00,1.667,0,1
59,2016-01-19 15:00:00+00:00,1.333,0,1
60,2016-01-19 15:30:00+00:00,0.667,0,1
61,2016-01-19 16:00:00+00:00,2.667,0,1
62,2016-01-19 16:30:00+00:00,0.0,0,1
63,2016-01-19 17:00:00+00:00,0.333,0,1
64,2016-01-19 17:30:00+00:00,0.333,0,1
65,2016-01-19 18:00:00+00:00,0.667,0,1
66,2016-01-19 18:30:00+00:00,1.333,0,1
67,2016-01-19 19:00:00+00:00,0.667,0,1
68,2016-01-19 19:30:00+00:00,0.333,0,1
69,2016-01-19 20:00:00+00:00,0.0,0,1
70,2016-01-19 20:30:00+00:00,0.333,0,1
71,2016-01-19 21:00:00+00:00,0.333,0,1
72,2016-01-19 21:30:00+00:00,1.0,0,1
73,2016-01-19 22:00:00+00:00,1.333,0,1
74,2016-01-19 22:30:00+00:00,2.333,0,1
75,2016-01-19 23:00:00+00:00,1.333,0,1
76,2016-01-19 23:30:00+00:00,0.667,0,1
77,2016-01-20 00:00:00+00:00,1.667,0,1
78,2016-01-20 00:30:00+00:00,0.667,0,1
79,2016-01-20 01:00:00+00:00,0.667,0,1
80,2016-01-20 01:30:00+00:00,1.333,0,1
81,2016-01-20 02:00:00+00:00,1.333,0,1
82,2016-01-20 02:30:00+00:00,1.0,0,1
83,2016-01-20 03:00:00+00:00,2.0,0,1
84,2016-01-20 03:30:00+00:00,1.667,0,1
85,2016-01-20 04:00:00+00:00,2.0,0,1
86,2016-01-20 04:30:00+00:00,2.333,0,1
87,2016-01-20 05:00:00+00:00,2.333,0,1
88,2016-01-20 05:30:00+00:00,2.667,0,1
