,time,Symh
0,2016-01-01 00:00:00,-102
1,2016-01-20 09:50:00,-50
2,2016-02-01 08:25:00,-50
3,2016-02-16 19:00:00,-50
4,2016-03-06 19:00:00,-50
5,2016-03-15 06:45:00,-50
6,2016-03-19 08:15:00,-50
7,2016-04-02 21:20:00,-50
8,2016-04-07 20:25:00,-52
9,2016-04-13 00:30:00,-51
10,2016-04-16 20:05:00,-51
11,2016-05-02 03:10:00,-53
12,2016-05-08 03:25:00,-50
13,2016-06-06 02:25:00,-50
14,2016-07-25 17:15:00,-51
15,2016-08-03 06:15:00,-50
16,2016-08-23 19:05:00,-53
17,2016-09-01 09:10:00,-51
18,2016-09-27 09:05:00,-50
19,2016-09-29 09:05:00,-59
20,2016-10-01 00:00:00,-51
21,2016-10-04 04:05:00,-51
22,2016-10-13 09:35:00,-51
23,2016-10-25 08:00:00,-51
24,2016-10-27 08:25:00,-50
25,2016-10-29 08:25:00,-55
26,2016-11-03 08:45:00,-50
27,2016-11-10 14:55:00,-50
28,2016-11-25 06:15:00,-50
29,2016-12-21 15:40:00,-52
30,2016-12-23 20:25:00,-52
31,2017-03-01 19:50:00,-51
32,2017-03-27 10:05:00,-50
33,2017-03-30 05:15:00,-50
34,2017-04-04 07:05:00,-50
35,2017-04-22 04:25:00,-51
36,2017-05-28 00:15:00,-50
37,2017-07-16 12:25:00,-52
38,2017-08-23 12:30:00,-51
39,2017-08-31 10:55:00,-51
40,2017-09-07 23:25:00,-56
41,2017-09-13 00:00:00,-56
42,2017-09-27 21:55:00,-50
43,2017-10-13 17:20:00,-50
44,2017-10-15 17:20:00,-52
45,2017-11-07 10:00:00,-50
46,2017-11-09 10:10:00,-51
47,2017-11-21 06:10:00,-52
48,2018-02-27 12:55:00,-56
49,2018-03-18 21:05:00,-50
50,2018-04-20 06:00:00,-51
51,2018-05-06 00:25:00,-53
52,2018-08-25 23:40:00,-52
53,2018-08-28 00:50:00,-50
54,2018-09-10 22:30:00,-53
55,2018-10-07 19:45:00,-52
56,2018-11-05 04:55:00,-50
57,2019-05-11 02:55:00,-53
58,2019-05-14 05:30:00,-51
59,2019-08-05 08:55:00,-52
60,2019-09-01 05:05:00,-51
61,2019-09-05 05:10:00,-50
62,2019-09-27 22:20:00,-51
63,2019-10-01 06:45:00,-50
64,2019-10-25 06:35:00,-51
65,2020-04-20 11:20:00,-50
66,2020-07-24 23:45:00,-50
67,2020-08-31 00:00:00,-52
68,2020-09-25 22:20:00,-51
69,2020-09-27 22:20:00,-55
70,2020-10-24 04:55:00,-50
71,2021-01-11 21:50:00,-50
72,2021-02-24 23:25:00,-51
73,2021-03-01 04:10:00,-57
74,2021-03-03 04:30:00,-50
75,2021-03-20 08:35:00,-51
76,2021-04-16 19:35:00,-50
77,2021-04-26 04:45:00,-50
78,2021-05-12 14:05:00,-51
79,2021-07-22 11:50:00,-50
80,2021-08-27 16:55:00,-51
81,2021-09-17 20:05:00,-51
82,2021-10-12 03:15:00,-50
83,2021-10-17 21:50:00,-50
84,2021-11-04 05:35:00,-54
85,2021-11-06 15:35:00,-50
86,2021-11-30 23:35:00,-51
87,2021-12-01 10:45:00,-50
88,2021-12-19 19:05:00,-52
89,2022-01-14 19:35:00,-50
90,2022-01-19 02:45:00,-50
91,2022-02-03 08:40:00,-51
92,2022-02-10 16:30:00,-51
93,2022-03-05 18:50:00,-51
94,2022-03-12 04:05:00,-51
95,2022-03-14 04:05:00,-64
96,2022-04-02 06:00:00,-50
97,2022-04-10 06:00:00,-50
98,2022-04-14 10:30:00,-50
99,2022-05-28 00:40:00,-53
100,2022-06-26 00:20:00,-50
101,2022-07-02 06:00:00,-50
102,2022-07-07 17:25:00,-50
103,2022-07-19 12:00:00,-50
104,2022-08-08 05:00:00,-50
105,2022-08-17 21:10:00,-58
106,2022-08-20 00:45:00,-50
107,2022-09-04 06:10:00,-50
108,2022-10-14 09:20:00,-52
109,2022-10-22 12:45:00,-50
110,2022-10-29 08:05:00,-50
111,2022-11-02 16:25:00,-50
112,2022-11-05 08:50:00,-50
113,2022-11-07 13:20:00,-50
114,2022-11-28 01:55:00,-51
115,2022-11-30 18:15:00,-50
116,2022-12-07 15:30:00,-51
117,2022-12-26 13:30:00,-51
118,2022-12-30 08:25:00,-50
119,2023-01-04 06:00:00,-50
120,2023-01-15 09:10:00,-50
121,2023-02-10 01:45:00,-50
122,2023-02-15 07:30:00,-53
123,2023-02-21 09:30:00,-50
124,2023-02-26 21:40:00,-57
125,2023-02-28 23:15:00,-50
126,2023-03-09 08:55:00,-51
127,2023-03-15 22:45:00,-55
128,2023-03-23 12:55:00,-50
129,2023-04-23 15:20:00,-50
130,2023-04-25 20:40:00,-50
131,2023-04-28 02:05:00,-51
132,2023-04-30 02:55:00,-51
133,2023-05-06 03:45:00,-56
134,2023-05-20 02:05:00,-51
135,2023-05-22 02:05:00,-60
136,2023-06-01 08:15:00,-50
137,2023-06-16 00:50:00,-51
138,2023-06-25 00:30:00,-50
139,2023-06-29 17:20:00,-50
140,2023-07-14 06:55:00,-50
141,2023-07-16 23:05:00,-54
142,2023-07-26 07:15:00,-50
143,2023-08-05 01:20:00,-50
