,time,values,above_3,below_3,above_6,below_6,above_9,below_9
0,2016-01-01 00:00:00+00:00,5.667,1,0,0,1,0,1
1,2016-01-01 00:30:00+00:00,5.667,1,0,0,1,0,1
2,2016-01-01 01:00:00+00:00,6.333,1,0,1,0,0,1
3,2016-01-01 01:30:00+00:00,6.0,1,0,0,0,0,1
4,2016-01-01 02:00:00+00:00,5.667,1,0,0,1,0,1
5,2016-01-01 02:30:00+00:00,5.667,1,0,0,1,0,1
6,2016-01-01 03:00:00+00:00,5.0,1,0,0,1,0,1
7,2016-01-01 03:30:00+00:00,5.0,1,0,0,1,0,1
8,2016-01-01 04:00:00+00:00,5.333,1,0,0,1,0,1
9,2016-01-01 04:30:00+00:00,5.667,1,0,0,1,0,1
10,2016-01-01 05:00:00+00:00,5.333,1,0,0,1,0,1
11,2016-01-01 05:30:00+00:00,5.667,1,0,0,1,0,1
12,2016-01-01 06:00:00+00:00,5.667,1,0,0,1,0,1
13,2016-01-01 06:30:00+00:00,5.0,1,0,0,1,0,1
14,2016-01-01 07:00:00+00:00,4.0,1,0,0,1,0,1
15,2016-01-01 07:30:00+00:00,4.0,1,0,0,1,0,1
16,2016-01-01 08:00:00+00:00,3.667,1,0,0,1,0,1
17,2016-01-01 08:30:00+00:00,3.667,1,0,0,1,0,1
18,2016-01-01 09:00:00+00:00,4.0,1,0,0,1,0,1
19,2016-01-01 09:30:00+00:00,4.0,1,0,0,1,0,1
20,2016-01-01 10:00:00+00:00,3.333,1,0,0,1,0,1
21,2016-01-01 10:30:00+00:00,2.667,0,1,0,1,0,1
22,2016-01-01 11:00:00+00:00,2.333,0,1,0,1,0,1
23,2016-01-01 11:30:00+00:00,2.333,0,1,0,1,0,1
24,2016-01-01 12:00:00+00:00,1.667,0,1,0,1,0,1
25,2016-01-01 12:30:00+00:00,1.0,0,1,0,1,0,1
26,2016-01-01 13:00:00+00:00,2.0,0,1,0,1,0,1
27,2016-01-01 13:30:00+00:00,2.0,0,1,0,1,0,1
28,2016-01-01 14:00:00+00:00,2.667,0,1,0,1,0,1
29,2016-01-01 14:30:00+00:00,1.667,0,1,0,1,0,1
30,2016-01-01 15:00:00+00:00,1.333,0,1,0,1,0,1
31,2016-01-01 15:30:00+00:00,1.0,0,1,0,1,0,1
32,2016-01-01 16:00:00+00:00,1.0,0,1,0,1,0,1
33,2016-01-01 16:30:00+00:00,1.0,0,1,0,1,0,1
34,2016-01-01 17:00:00+00:00,1.0,0,1,0,1,0,1
35,2016-01-01 17:30:00+00:00,1.0,0,1,0,1,0,1
36,2016-01-01 18:00:00+00:00,0.667,0,1,0,1,0,1
37,2016-01-01 18:30:00+00:00,2.0,0,1,0,1,0,1
38,2016-01-01 19:00:00+00:00,2.0,0,1,0,1,0,1
39,2016-01-01 19:30:00+00:00,2.333,0,1,0,1,0,1
40,2016-01-01 20:00:00+00:00,2.333,0,1,0,1,0,1
